FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
32003,NV_S,7300,0.0,0.0,0,119206.63128984554,0.0,119206.63128984554
32021,NV_N,1250,41.0,490.0,531,45360.2097754359,19269.01711260517,26091.19266283073
32007,NV_N,8100,465.0,2544.0,3009,293934.1593448246,109191.09697142929,184743.0623733953
32001,NV_N,2200,185.0,839.0,1024,80831.89381982677,37623.57239613755,43208.32142368922
32001,NV_N,670,46.0,46.0,92,43611.57368859284,5988.454894553047,37623.118794039794
32033,NV_N,2100,52.0,73.0,125,78110.28123330061,4649.4215019821795,73460.85973131843
32019,NV_N,4150,105.0,146.0,251,152478.34516012776,9222.184249443872,143256.1609106839
32031,NV_N,5050,127.0,178.0,305,215324.9158039942,13004.77214261747,202320.14366137673
32001,NV_N,2600,71.0,78.0,149,94938.91905998733,5440.730361514658,89498.18869847267
32027,NV_N,8800,502.0,2743.0,3245,319335.8768190687,117755.10457703158,201580.7722420371
32003,NV_S,10200,210.0,62.0,272,131862.12981719215,3516.3234617917906,128345.80635540036
32003,NV_S,7300,0.0,0.0,0,236757.61492288765,0.0,236757.61492288765
32003,NV_S,52500,0.0,0.0,0,17765326.15854947,0.0,17765326.15854947
32031,NV_N,950,0.0,0.0,0,589070.3642486982,0.0,589070.3642486982
32003,NV_S,24900,692.0,202.0,894,864043.9559073907,31022.30106751836,833021.6548398724
32003,NV_S,5700,0.0,0.0,0,736876.6078019561,0.0,736876.6078019561
32021,NV_N,2150,54.0,76.0,130,29744.95756024209,1798.5323175960332,27946.425242646055
32005,NV_N,13000,327.0,458.0,785,471746.18166453333,28486.211738973743,443259.9699255596
32007,NV_N,2300,58.0,82.0,140,169533.78403569167,10319.447723911666,159214.33631178
32021,NV_N,1900,48.0,67.0,115,69809.36284439584,4225.303540581854,65584.05930381399
32003,NV_S,3600,67.0,162.0,229,131453.88792921323,8361.92787105273,123091.9600581605
32003,NV_S,24400,870.0,4920.0,5790,896499.186001715,212734.8478258168,683764.3381758982
32023,NV_N,270,4.0,11.0,15,9920.277877887831,551.1265487715461,9369.151329116285
32023,NV_S,2900,37.0,119.0,156,106551.13276249892,5731.71610722408,100819.41665527484
32011,NV_N,60,0.0,0.0,0,470539.60008450673,0.0,470539.60008450673
32007,NV_N,280,7.0,10.0,17,11049.747101296183,670.8775025786969,10378.869598717487
32003,NV_S,66000,456.0,56.0,512,1930984.130140306,14979.75567623995,1916004.374464066
32015,NV_N,670,46.0,46.0,92,24313.07243963364,3338.5114394720817,20974.56100016156
32003,NV_S,45000,1414.0,8093.0,9507,1653379.6463146384,349304.00661140593,1304075.6397032326
32031,NV_N,350,9.0,33.0,42,12700.858737122051,1524.1030484546461,11176.755688667405
32007,NV_N,8200,465.0,2544.0,3009,457503.07579504646,167881.31159357252,289621.7642014739
32023,NV_N,190,6.0,12.0,18,9738.837038786087,922.6266668323661,8816.21037195372
32031,NV_N,2550,0.0,0.0,0,1149166.8945033369,0.0,1149166.8945033369
32023,NV_N,590,19.0,68.0,87,43489.101122199165,6412.79965700225,37076.30146519691
32007,NV_N,5800,312.0,1142.0,1454,211786.8194415102,53092.76473585445,158694.05470565573
32009,NV_N,2650,175.0,463.0,638,96163.6447239241,23151.85106938248,73011.79365454162
32007,NV_N,12500,1459.0,2482.0,3941,223966.03576621474,70612.01175637219,153354.02400984254
32013,NV_N,530,0.0,0.0,0,79936.0296767619,0.0,79936.0296767619
32031,NV_N,2500,133.0,488.0,621,90153.41692867884,22394.108765083824,67759.30816359501
32003,NV_S,12300,0.0,0.0,0,200855.00888563014,0.0,200855.00888563014
32009,NV_N,140,2.0,6.0,8,5143.847788534431,293.9341593448246,4849.913629189607
32003,NV_S,131000,4137.0,23671.0,27808,5526234.356941355,1173080.3434948488,4353154.013446506
32009,NV_N,3300,43.0,136.0,179,119750.95380715077,6495.58203984242,113255.37176730834
32017,NV_S,50,8.0,13.0,21,1825.7484434612948,766.8143462537438,1058.934097207551
32510,NV_N,15300,817.0,2993.0,3810,562149.0797469771,139986.14338797273,422162.93635900435
32033,NV_N,970,34.0,70.0,104,35639.516820559984,3821.14407148272,31818.372749077265
32021,NV_N,1900,48.0,67.0,115,69378.4408515292,4199.221419960978,65179.21943156822
32033,NV_N,2100,52.0,73.0,125,77157.71682801646,4592.721239762885,72564.99558825357
32007,NV_N,1600,87.0,318.0,405,58786.83186896492,14880.416816831745,43906.415052133176
32027,NV_N,80,0.0,0.0,0,6441.149788111898,0.0,6441.149788111898
32031,NV_N,860,22.0,30.0,52,31402.87322753427,1898.7783811997465,29504.094846334523
32031,NV_N,5100,180.0,88.0,268,182756.28518523122,9603.663613655288,173152.62157157593
32019,NV_N,5500,322.0,1600.0,1922,256965.58837784434,89797.79288403943,167167.7954938049
32031,NV_N,810,34.0,78.0,112,29760.83363366349,4115.078230827545,25645.755402835945
32011,NV_N,620,35.0,57.0,92,22498.664048616203,3338.5114394720817,19160.152609144123
32013,NV_N,2250,56.0,79.0,135,82668.98231573192,4960.1389389439155,77708.843376788
32013,NV_N,2800,150.0,549.0,699,102876.95577068861,25682.49717275405,77194.45859793456
32003,NV_S,12300,0.0,0.0,0,1071226.7140566942,0.0,1071226.7140566942
32007,NV_N,2250,56.0,79.0,135,82668.98231573192,4960.1389389439155,77708.843376788
32003,NV_S,14800,0.0,0.0,0,2074413.1134502343,0.0,2074413.1134502343
32003,NV_S,44500,1407.0,8054.0,9461,333057.34027613804,70810.23587309083,262247.10440304724
32003,NV_S,7300,0.0,0.0,0,1897372.2146967081,0.0,1897372.2146967081
32005,NV_N,3400,56.0,25.0,81,122608.64702300323,2920.9707084891943,119687.67631451403
32013,NV_N,9200,526.0,2875.0,3401,333851.1439472082,123416.05875700599,210435.0851902022
32003,NV_S,3000,90.0,290.0,380,108864.50346104614,13789.503771732512,95074.99968931363
32007,NV_N,5700,324.0,1770.0,2094,208135.32255458762,76462.34481215902,131672.9777424286
32003,NV_S,32500,507.0,150.0,657,678135.1361427667,13708.762598332236,664426.3735444344
32031,NV_N,38000,1687.0,2461.0,4148,1025594.3430226056,111951.71933836231,913642.6236842433
32013,NV_N,8000,455.0,2200.0,2655,292119.75095380715,96947.24234779476,195172.5086060124
32013,NV_N,3000,141.0,440.0,581,110225.30975430923,21346.968322417888,88878.34143189134
32031,NV_N,22000,650.0,781.0,1431,1422042.5764599154,92497.4057688245,1329545.1706910909
32031,NV_N,14300,126.0,6.0,132,214054.829930282,1975.8907378179877,212078.939192464
32015,NV_N,620,35.0,57.0,92,22779.897349223906,3380.242832465483,19399.654516758423
32023,NV_S,4450,284.0,807.0,1091,342140.7222836691,83882.14112617595,258258.58115749317
32031,NV_N,4900,263.0,966.0,1229,180034.67259870507,45155.63522934868,134879.0373693564
32007,NV_N,5700,324.0,1770.0,2094,320605.9626927809,117780.50629450583,202825.45639827504
32033,NV_N,970,34.0,70.0,104,71279.03364111997,7642.28814296544,63636.74549815453
32003,NV_S,155000,4876.0,27900.0,32776,5730128.499881939,1211681.882013745,4518446.617868194
32011,NV_N,900,23.0,32.0,55,32659.351038313845,1995.8492301191793,30663.501808194666
32009,NV_N,2800,218.0,413.0,631,205753.91154137722,46368.11363664608,159385.79790473115
32015,NV_N,620,35.0,57.0,92,26717.163557731743,3964.4823343730973,22752.681223358646
32003,NV_S,19800,0.0,0.0,0,1809736.289410566,0.0,1809736.289410566
32031,NV_N,24500,0.0,0.0,0,866833.60880858,0.0,866833.60880858
32007,NV_N,330,8.0,12.0,20,12124.784072974015,734.8353983620615,11389.948674611953
32005,NV_N,1300,68.0,250.0,318,47764.300893534,11683.882833956777,36080.41805957722
32005,NV_N,2200,55.0,77.0,132,106278.9715038463,6376.738290230778,99902.23321361553
32021,NV_N,1900,15.0,20.0,35,69378.4408515292,1278.0239104229063,68100.41694110629
32003,NV_S,52500,0.0,0.0,0,7453816.471348504,0.0,7453816.471348504
32031,NV_N,110,6.0,21.0,27,7958.448805100228,1953.4374339791468,6005.0113711210815
32007,NV_N,8250,465.0,2544.0,3009,299377.3845178769,109191.09697142929,190186.2875464476
32015,NV_N,180,5.0,6.0,11,6695.166962854338,409.14909217443176,6286.017870679906
32023,NV_S,260,0.0,0.0,0,1012308.3375793804,0.0,1012308.3375793804
32003,NV_S,116000,3653.0,20903.0,24556,1157592.553469124,245050.36847403285,912542.1849950912
32003,NV_S,17400,887.0,600.0,1487,359116.78079212597,30690.037530913294,328426.74326121266
32510,NV_N,1350,0.0,0.0,0,918.5442479525768,0.0,918.5442479525768
32019,NV_N,21700,1239.0,6769.0,8008,1028610.7969726721,379590.5650763667,649020.2318963055
32003,NV_S,4800,0.0,0.0,0,215551.71685287138,0.0,215551.71685287138
32023,NV_N,220,23.0,24.0,47,8083.189381982676,1726.8631861508445,6356.326195831832
32001,NV_N,980,21.0,30.0,51,26894.068375855943,1399.5892726210745,25494.47910323487
32009,NV_N,2900,37.0,118.0,155,213759.98856674167,11425.102837187917,202334.88572955376
32003,NV_S,550,7.0,23.0,30,19958.492301191793,1088.6450346104614,18869.84726658133
32003,NV_S,26700,830.0,4710.0,5540,1265617.8930493246,262603.862452931,1003014.0305963936
32009,NV_N,2900,37.0,118.0,155,207182.75814930344,11073.561211428289,196109.19693787515
32007,NV_N,800,20.0,28.0,48,52254.96166130215,3135.297699678129,49119.66396162402
32013,NV_N,2250,56.0,79.0,135,82668.98231573192,4960.1389389439155,77708.843376788
32017,NV_S,40,1.0,2.0,3,3510.8802366187383,263.31601774640535,3247.564218872333
32003,NV_S,610,8.0,12.0,20,4288.8078342674635,140.6166503038513,4148.191183963612
32031,NV_N,46000,1748.0,2549.0,4297,1669255.719736041,155930.25712403844,1513325.4626120026
32023,NV_N,60,0.0,0.0,0,220954.11783712578,0.0,220954.11783712578
32027,NV_N,60,0.0,0.0,0,206379.88243627825,0.0,206379.88243627825
32007,NV_N,8450,651.0,3090.0,3741,306635.01808194665,135754.03581592455,170880.9822660221
