FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
46081,WY_NE,3410,116.0,784.0,900,53364.01879031156,14084.345135272846,39279.673655038714
46103,WY_NE,15562,124.0,78.0,202,571775.42346552,7421.837523456821,564353.5859420632
46103,WY_NE,3981,56.0,163.0,219,144463.19609280824,7947.108752656369,136516.08734015186
46103,WY_NE,6934,146.0,118.0,264,251622.155666298,9580.076304572061,242042.07936172595
46103,WY_NE,3981,56.0,163.0,219,145366.09106838828,7996.778182360471,137369.31288602782
46103,WY_NE,24985,226.0,235.0,461,934992.9940223943,17251.621782842656,917741.3722395516
46033,WY_NE,990,39.0,49.0,88,35925.28614214523,3193.358768190687,32731.927373954546
46081,WY_NE,1447,27.0,36.0,63,68918.03472230853,3000.5778766450844,65917.45684566344
46103,WY_NE,360,0.0,0.0,0,130474.1073980638,0.0,130474.1073980638
46081,WY_NE,6878,385.0,536.0,921,171593.13755949645,22977.214261747053,148615.9232977494
46033,WY_NE,4406,141.0,674.0,815,161884.23825916214,29944.542483254005,131939.69577590813
46093,WY_NE,4596,78.0,129.0,207,167822.7969229622,7558.598555929761,160264.19836703246
46047,WY_NE,970,27.0,42.0,69,45099.388569227136,3208.100836367704,41891.28773285943
46103,WY_NE,4290,0.0,0.0,0,119676.10946102129,0.0,119676.10946102129
