registry_id,primary_name,latitude83,longitude83,naics_code
110006851558,MORELAND CORP VA PHARMACY RESEARCH CTR,35.08106,-106.61954,325412
110033022529,IRD FUEL CELLS LLC,35.17994,-106.59527,325188
110070200885,MEDINATURA,35.05538,-106.53033,325411
110033022529,IRD FUEL CELLS LLC,35.17994,-106.59527,325188
110004276266,HAZCHEM ENVIRONMENTAL SVCS INC,35.17828,-106.59699,32599
110070121929,STA TECHNOLOGIES INC,35.197507,-106.583218,325998
110009457765,TRI GAS INC,35.17653,-106.59528,325120
110004272750,RINCHEM CO INC,35.13264,-106.62991,32551
110070595153,WORLD OIL ENVIRONMENTAL SERVICES,35.010916,-106.657168,325998
110070049961,BAYOTECH,35.18217,-106.60892,325120
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110028118748,VALERO RENEWABLE FUELS CO LLC (DBA VALERO ALBION PLANT),41.6775,-97.982222,325193
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110042022593,HAYES-ALBION CORPORATION,42.24965,-84.76218,331511
110038867018,CONTINENTAL CARBONIC PRODUCTS,42.26146,-84.8016,325120
110028118748,VALERO RENEWABLE FUELS CO LLC (DBA VALERO ALBION PLANT),41.6775,-97.982222,325193
110000409950,CLARIANT CORP - MASTERBATCHES DIV,42.25509,-84.77882,325991
110000409950,CLARIANT CORP - MASTERBATCHES DIV,42.25509,-84.77882,325991
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110028118748,VALERO RENEWABLE FUELS CO LLC (DBA VALERO ALBION PLANT),41.6775,-97.982222,325193
110037608014,HELENA CHEMICAL COMPANY,41.699115,-98.0073,325314
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110042022593,HAYES-ALBION CORPORATION,42.24965,-84.76218,331511
110028118748,VALERO RENEWABLE FUELS CO LLC (DBA VALERO ALBION PLANT),41.6775,-97.982222,325193
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110070299554,CLARIANT CORPORATION,42.254444,-84.777685,325199
110028118748,VALERO RENEWABLE FUELS CO LLC (DBA VALERO ALBION PLANT),41.6775,-97.982222,325193
110038867018,CONTINENTAL CARBONIC PRODUCTS,42.26146,-84.8016,325120
110000409950,CLARIANT CORP - MASTERBATCHES DIV,42.25509,-84.77882,325991
110042022593,HAYES-ALBION CORPORATION,42.24965,-84.76218,331511
110037608014,HELENA CHEMICAL COMPANY,41.699115,-98.0073,325314
110000409950,CLARIANT CORP - MASTERBATCHES DIV,42.25509,-84.77882,325991
110028118748,VALERO RENEWABLE FUELS CO LLC (DBA VALERO ALBION PLANT),41.6775,-97.982222,325193
110042022593,HAYES-ALBION CORPORATION,42.24965,-84.76218,331511
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110000409950,CLARIANT CORP - MASTERBATCHES DIV,42.25509,-84.77882,325991
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110001843694,THE ANDERSONS,42.259646,-84.789726,325193
110012575935,IOWA ALUMINUM INC,41.00322,-92.81151,331312
110023104148,CHEM-TECH INC,45.246069,-93.686505,325998
