AIRPORT,demand_mwh_h2,Latitude,Longitude,total_h2_demand_kg
IZA,0.0,34.60680008,-120.0759964,0.0
JAC,157758.6204459466,43.60722222,-110.73777778,4724726.578195466
JER,0.00015908412975424076,42.72669982910156,-114.45700073242188,0.004764424371196189
KLS,0.0,46.11805556,-122.89833333,0.0
L35,3.0372177164801444e-07,34.263802,-116.856003,9.096189627074408e-06
L45,8.295304922450553e-07,35.324799,-118.996002,2.4843680510483836e-05
L52,0.0,35.101398,-120.622002,0.0
LAA,0.00048107359611735,38.06972222,-102.68861111,0.014407714768414194
LAR,122.43621485509762,41.31333333,-105.67277778,3666.8527958998984
LAS,4639412.05824449,36.08,-115.15222222,138946153.28674722
LAX,22726095.405768763,33.94305556,-118.40888889,680625798.3159257
LGB,2474.8509542341335,33.81805556,-118.15194444,74119.52543378656
LGD,0.00028429575724678313,45.28916667,-118.00611111,0.008514398240394822
LGU,0.00010529303347196618,41.79166667,-111.85166667,0.0031534301728651146
LHM,6.3676650689346856e-06,38.909199,-121.350998,0.000190705752289149
LHX,0.00010280979138222139,38.05,-103.50972222,0.003079059340587643
LMO,0.0,40.1637,-105.163002,0.0
LMT,0.12004868537420957,42.15611111,-121.73333333,3.5953484688292776
LND,0.34912844829009415,42.81527778,-108.72861111,10.456078115905784
LPC,2.468574026226467e-06,34.66555556,-120.4675,7.393153717359889e-05
LRU,0.3947550661436957,32.28916667,-106.92194444,11.82255364311757
LSN,1.253259498447023e-06,37.06388889,-120.86972222,3.753397719218398e-05
LSV,0.0007473572657718784,36.23611111,-115.03416667,0.022382667438510882
LUF,0.00011863629553286395,33.535,-112.38305556,0.0035530486832244367
LVK,4.7047164417520606e-05,37.69305556,-121.82027778,0.0014090195992069665
LVM,0.013747734967815676,45.66666667,-110.56666667,0.41173210445689357
LVS,0.0,35.65416667,-105.1425,0.0
LWS,25.1186951829199,46.37166667,-117.00694444,752.281976128179
LWT,14.625638306421429,47.04888889,-109.46722222,438.02450752984214
MAE,1.190672955475653e-08,36.98861111,-120.1125,3.565956739969011e-07
MAN,0.00010143522302580473,43.581299,-116.523003,0.0030378922739084974
MCC,0.001798412775618091,38.66777778,-121.40055556,0.05386081987475564
MCE,0.17267138371656696,37.28472222,-120.51388889,5.171350216129588
MER,0.0,37.38055556,-120.56555556,0.0
MEV,0.00033898796240818235,39.00055556,-119.75111111,0.010152379826540351
MFR,9269.971610740484,42.375,-122.87333333,277627.18211262306
MHR,3.147153494874126,38.55583333,-121.29694444,94.25437241312147
MHV,3.8982438057566645e-06,35.05888889,-118.15055556,0.00011674884114275724
MIT,6.692460846663121e-07,35.5075,-119.19222222,2.0043308914834144e-05
MMH,0.00654006858759773,37.63111111,-118.85138889,0.19586908019160618
MMV,0.0,45.19440079,-123.1360016,0.0
MOD,4.2018941732705824e-05,37.62583333,-120.95444444,0.0012584289228123938
MRY,32.77379672529939,36.58694444,-121.84194444,981.5452747918356
MSO,35643.00720121915,46.91611111,-114.09138889,1067475.5076735297
MTJ,3.498311626311994,38.50888889,-107.89444444,104.7712376852948
MUO,0.21161689334130945,43.04361111,-115.8725,6.337732654726248
MWH,0.0002035231627442045,47.21055556,-119.32111111,0.0060953328165380205
MYF,6.243097467506945e-05,32.81583333,-117.13944444,0.0018697506641230743
MYL,0.00601865013786608,44.88861111,-116.10166667,0.18025307391033485
MYV,0.0,39.09777778,-121.56972222,0.0
MZJ,4.0167134329356175e-05,32.50972222,-111.32527778,0.0012029689826102477
NFG,0.0,33.30130005,-117.3550034,0.0
NFL,0.0003727249892776211,39.41777778,-118.69861111,0.01116277296428934
NID,2.0182187271969017e-05,35.6853981,-117.6920013,0.0006044380734342323
NJK,5.3558023574317086e-06,32.82666667,-115.66861111,0.0001604013883627346
NKX,3.475442957360862e-06,32.86861111,-117.1425,0.00010408634193952866
NLC,2.098126383420318e-05,36.33305556,-119.95222222,0.0006283696865589453
NTD,0.0002663925013802594,34.12027778,-119.12083333,0.007978212080870304
NUQ,0.0017138295775104128,37.41611111,-122.04916667,0.05132763035371107
NUW,5.914153014417711e-05,48.35194444,-122.65583333,0.0017712348051565471
NXP,1.2185612018226247e-06,34.2962,-116.162003,3.649479490334306e-05
NZY,0.0010284083224838183,32.69833333,-117.21305556,0.030799889861749575
O22,0.0,38.0303993225,-120.415000916,0.0
O61,1.532364634266685e-07,38.683998,-120.987999,4.589292106219481e-06
O69,2.4187738864643656e-05,38.25780106,-122.6060028,0.0007244006847751919
OAK,68735.30896297644,37.72138889,-122.22111111,2058559.7173697648
OGD,0.042713084385523174,41.19472222,-112.01277778,1.2792178612016523
OKB,3.571264829176835e-08,33.217947,-117.351683,1.0695611947220231e-06
OLM,1.845775045196981e-08,46.96944444,-122.9025,5.527927658571371e-07
OLS,0.0,31.41777778,-110.84777778,0.0
OMK,0.0,48.46444444,-119.51805556,0.0
ONO,0.0001082169074131856,44.01944444,-117.01305556,0.0032409975266003473
ONP,0.002217349276974222,44.58027778,-124.05805556,0.06640758541402283
ONT,61616.91979351371,34.05611111,-117.60111111,1845370.464016583
ORS,0.00041570841951822846,48.708199,-122.910004,0.012450087436904116
OTH,0.672912747132627,43.41694444,-124.24694444,20.153122106397934
OVE,0.0,39.48777778,-121.62194444,0.0
OXR,4.98107374995324e-05,34.20083333,-119.20722222,0.0014917860886352918
P19,0.0,33.298829,-111.915795,0.0
P20,0.0,34.14891,-114.268362,0.0
PAE,66.82725217142524,47.90722222,-122.28222222,2001.4151593718252
PAN,0.0,34.256801605225,-111.33899688721,0.0
PAO,7.416735235063445e-06,37.46111111,-122.115,0.0002221244454945626
PDT,0.05089951492854829,45.695,-118.84333333,1.5243939780936893
PDX,1764861.0186084544,45.58861111,-122.59805556,52855975.400073506
