date,demand_mwh_baseline,demand_mwh_industry,demand_mwh_transport,demand_mwh_aviation
60,88117.8799160259,313707.3334247697,275917.5243363993,486287.7755007508
61,88117.8799160259,313707.3334247697,287218.08875520225,360873.41910482536
62,88117.8799160259,313707.3334247697,304100.4574516627,443217.1853717846
63,88117.8799160259,313707.3334247697,308810.27152251353,473444.6398656868
64,88117.8799160259,160677.19208425898,276859.0576607077,464514.2533666094
65,88117.8799160259,160677.19208425898,291677.72803558584,479382.78214112064
66,88117.8799160259,313707.3334247697,269851.0817486978,511958.6647603371
67,88117.8799160259,313707.3334247697,277141.2915367479,510217.6228495065
68,88117.8799160259,313707.3334247697,288491.97699885356,404049.76875787077
69,88117.8799160259,313707.3334247697,305449.22338222567,453247.5737909759
70,88117.8799160259,313707.3334247697,310179.9267616529,489094.7169324896
71,88117.8799160259,160677.19208425898,277095.87847726163,476895.3461035035
72,88117.8799160259,160677.19208425898,291927.2245651267,487931.74260742037
73,88117.8799160259,313707.3334247697,270081.9080962749,488888.6112459628
74,88117.8799160259,313707.3334247697,277378.353803099,496392.0051545455
75,88117.8799160259,313707.3334247697,288738.7485022938,404357.5255312556
76,88117.8799160259,313707.3334247697,305710.4997787185,464001.3971002144
77,88117.8799160259,313707.3334247697,310445.2497566259,502671.64780282584
78,88117.8799160259,160677.19208425898,283372.8160587888,481208.50069011183
79,88117.8799160259,160677.19208425898,298540.13039901503,498845.6510908381
80,88117.8799160259,313707.3334247697,276199.96108680975,516669.8349002023
81,88117.8799160259,313707.3334247697,283661.6901505529,517521.12960380496
82,88117.8799160259,313707.3334247697,295279.42710146523,409094.08304537233
83,88117.8799160259,313707.3334247697,312635.63245609927,452100.7917710054
84,88117.8799160259,313707.3334247697,317477.6367252076,490905.63002769713
85,88117.8799160259,160677.19208425898,277614.40164694545,471769.19673819956
86,88117.8799160259,160677.19208425898,292473.50133439724,493161.3699056956
87,88117.8799160259,313707.3334247697,270587.3062131303,519972.7718282606
88,88117.8799160259,313707.3334247697,277897.4055844605,489957.86179582553
89,88117.8799160259,313707.3334247697,289279.05875949876,387436.1211899828
90,88117.8799160259,313707.3334247697,306282.56883988733,417440.71451851685
91,88117.8799160259,313707.3334247697,311026.17886827164,488938.979093196
92,88117.8799160259,160677.19208425898,271868.21038270753,475725.9397446707
93,88117.8799160259,160677.19208425898,286419.74958497635,481181.1198736222
94,88117.8799160259,313707.3334247697,264986.565042054,468091.4237381858
95,88117.8799160259,313707.3334247697,272145.3565906603,498233.7157479533
96,88117.8799160259,313707.3334247697,283291.42706744786,398376.7840048889
97,88117.8799160259,313707.3334247697,299942.99059857277,460831.721823067
98,88117.8799160259,313707.3334247697,304588.415209198,486911.7969103486
99,88117.8799160259,160677.19208425898,270059.09512388473,473321.2707408683
100,88117.8799160259,160677.19208425898,284513.8028166896,477929.8964727722
101,88117.8799160259,313707.3334247697,263223.2428948537,518704.0872851078
102,88117.8799160259,313707.3334247697,270334.39709951164,510253.4363929411
103,88117.8799160259,313707.3334247697,281406.29735823185,378988.44897280016
104,88117.8799160259,313707.3334247697,297947.05499453435,449395.46664386726
105,88117.8799160259,313707.3334247697,302561.5671741405,501320.8577202307
106,88117.8799160259,160677.19208425898,263865.4218229462,471044.94624747155
107,88117.8799160259,160677.19208425898,277988.61791509105,485241.28856237314
108,88117.8799160259,313707.3334247697,257186.34655958877,527382.4725742089
109,88117.8799160259,313707.3334247697,264134.4099104222,508840.58056637563
110,88117.8799160259,313707.3334247697,274952.3815878033,359801.15835235285
111,88117.8799160259,313707.3334247697,291113.7849776275,455632.23584582884
112,88117.8799160259,313707.3334247697,295622.46560374496,491848.9101505352
113,88117.8799160259,160677.19208425898,263915.536982798,477323.39305922773
114,88117.8799160259,160677.19208425898,278041.4153872504,495176.8922719516
115,88117.8799160259,313707.3334247697,257235.19313801848,531702.9436466555
116,88117.8799160259,313707.3334247697,264184.5761245084,501517.93268590723
117,88117.8799160259,313707.3334247697,275004.60238123,376907.88012652285
118,88117.8799160259,313707.3334247697,291169.07532707986,448511.53778809373
119,88117.8799160259,313707.3334247697,295678.6122405588,489075.5036852085
120,88117.8799160259,160677.19208425898,270122.9226665839,470318.0569165658
121,88117.8799160259,160677.19208425898,284581.04660535965,488024.56447799195
122,88117.8799160259,313707.3334247697,263285.4547544681,516075.60154155554
123,88117.8799160259,313707.3334247697,270398.2896690678,491814.5840032006
124,88117.8799160259,313707.3334247697,281472.806680312,375078.3776050888
125,88117.8799160259,313707.3334247697,298017.4737499952,448039.3858697466
126,88117.8799160259,313707.3334247697,302633.07651531586,489082.98128106503
127,88117.8799160259,160677.19208425898,272626.3172934463,478783.71645883186
128,88117.8799160259,160677.19208425898,287218.4335141676,493658.48109969514
129,88117.8799160259,313707.3334247697,265725.48236914905,529301.183466155
130,88117.8799160259,313707.3334247697,272904.2362847994,516979.69298514276
131,88117.8799160259,313707.3334247697,284081.3876226428,385068.81747360114
132,88117.8799160259,313707.3334247697,300779.3842709211,431394.81982353947
133,88117.8799160259,313707.3334247697,305437.7626493616,485431.6219020927
134,88117.8799160259,160677.19208425898,279165.253824402,486235.5827713008
135,88117.8799160259,160677.19208425898,294107.3616542239,493515.37341718585
136,88117.8799160259,313707.3334247697,272098.9025227421,516030.37387845165
137,88117.8799160259,313707.3334247697,279449.83870019484,515388.09677420143
138,88117.8799160259,313707.3334247697,290895.07378394273,389993.81856093486
139,88117.8799160259,313707.3334247697,307993.57152671675,463594.0197514612
140,88117.8799160259,313707.3334247697,312763.6810164703,499711.76311114803
141,88117.8799160259,160677.19208425898,282150.27811217756,498711.0262461847
142,88117.8799160259,160677.19208425898,297252.1571115151,498783.21959053533
143,88117.8799160259,313707.3334247697,275008.3685992912,534700.2004616084
144,88117.8799160259,313707.3334247697,282437.90597076045,504878.6735176517
145,88117.8799160259,313707.3334247697,294005.52128379804,378514.15665513603
146,88117.8799160259,313707.3334247697,311286.84774763207,386783.4237605649
147,88117.8799160259,313707.3334247697,316107.9624921744,446469.91452722176
148,88117.8799160259,160677.19208425898,281281.98992686457,453693.30995788623
149,88117.8799160259,160677.19208425898,296337.39448804955,487884.053573195
150,88117.8799160259,313707.3334247697,274162.0589176538,497869.9421648457
151,88117.8799160259,313707.3334247697,281568.73265467206,499156.7335478708
152,88117.8799160259,313707.3334247697,293100.7498514765,387245.0269150118
153,88117.8799160259,313707.3334247697,310328.89479843277,446892.3549879483
154,88117.8799160259,313707.3334247697,315135.1730765305,492746.34069710464
155,88117.8799160259,160677.19208425898,279750.583007269,486832.32883352984
156,88117.8799160259,160677.19208425898,294724.0202147917,496932.53074415005
157,88117.8799160259,313707.3334247697,272669.4156563748,531906.2690014042
158,88117.8799160259,313707.3334247697,280035.7646174679,510026.38902872975
159,88117.8799160259,313707.3334247697,291504.99712070334,407215.4506515405
160,88117.8799160259,313707.3334247697,308639.34540556854,464241.1719857035
161,88117.8799160259,313707.3334247697,313419.45648228953,501432.9799417469
162,88117.8799160259,160677.19208425898,281050.39421361487,494908.5551669806
163,88117.8799160259,160677.19208425898,296093.4028175302,505726.6636167276
164,88117.8799160259,313707.3334247697,273936.3254741279,532149.7106979433
165,88117.8799160259,313707.3334247697,281336.900864026,515015.5904811749
166,88117.8799160259,313707.3334247697,292859.4231041305,415440.3459040865
167,88117.8799160259,313707.3334247697,310073.3830942569,453250.81198328803
168,88117.8799160259,313707.3334247697,314875.70409972477,509017.56469356414
169,88117.8799160259,160677.19208425898,277577.7492440722,496576.6142461146
170,88117.8799160259,160677.19208425898,292434.8871947046,473561.8185129211
171,88117.8799160259,313707.3334247697,270551.5816106754,516643.42629389284
172,88117.8799160259,313707.3334247697,277860.71584702766,508203.2411510489
173,88117.8799160259,313707.3334247697,289240.8663837678,411338.11304991547
174,88117.8799160259,313707.3334247697,306242.13149309956,469354.81079693284
175,88117.8799160259,313707.3334247697,310985.1152685783,503453.75883698487
176,88117.8799160259,160677.19208425898,282985.6497626796,502574.37412001
177,88117.8799160259,160677.19208425898,298132.241452996,514403.02789933886
178,88117.8799160259,313707.3334247697,275822.5950039434,539995.4624536431
179,88117.8799160259,313707.3334247697,283274.1292419433,523136.0774236299
180,88117.8799160259,313707.3334247697,294875.9932177449,420070.0657295868
181,88117.8799160259,313707.3334247697,312208.48501124943,458837.35878369573
182,88117.8799160259,313707.3334247697,317043.8738197931,489877.224030052
183,88117.8799160259,160677.19208425898,282064.50905292825,495686.65902754205
184,88117.8799160259,160677.19208425898,297161.7974358383,502899.53577113274
185,88117.8799160259,313707.3334247697,274924.77063924586,340761.9478713109
186,88117.8799160259,313707.3334247697,282352.04953450797,408793.5043078779
187,88117.8799160259,313707.3334247697,293916.1485584709,411820.35612470197
188,88117.8799160259,313707.3334247697,311192.22166476736,471036.82777561544
189,88117.8799160259,313707.3334247697,316011.87092463125,467143.4173004382
190,88117.8799160259,160677.19208425898,275771.62097570486,496375.4100800999
191,88117.8799160259,160677.19208425898,290532.0873319944,503063.0786658963
192,88117.8799160259,313707.3334247697,268791.1708733154,531716.8867741505
193,88117.8799160259,313707.3334247697,276052.74641195656,512947.1485533805
194,88117.8799160259,313707.3334247697,287358.84921903536,421246.36487897584
195,88117.8799160259,313707.3334247697,304249.49134023546,474238.26693529414
196,88117.8799160259,313707.3334247697,308961.6137434659,516618.1454866669
197,88117.8799160259,160677.19208425898,280981.83229937777,495680.09879083507
198,88117.8799160259,160677.19208425898,296021.17123497714,517663.1648357856
199,88117.8799160259,313707.3334247697,273869.49906820455,533036.78931617
200,88117.8799160259,313707.3334247697,281268.26908667607,485908.40945899225
201,88117.8799160259,313707.3334247697,292787.9804608635,407995.2140465065
