Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type,inWECC,inWestCensus
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,Nat Gas to SRU Reheater,324110.0,327.9,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,NG to RTO,324110.0,863.4,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,No. 5 NG,324110.0,859.4,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,No. 6 NG,324110.0,510.5,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,No. 7 NG,324110.0,11.6,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,Octane Engines for Lab,324110.0,11.1,Motor Gasoline,True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,Vapor Combustion Unit,324110.0,522.7,Natural Gas (Weighted U.S. Average),True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,Vapor Combustion Unit,324110.0,522.7,Heavy Gas Oils,True,True
1006189,110000469485.0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,40.824668,-111.930772,West Air Compressor,324110.0,40.2,Distillate Fuel Oil No. 2,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,A Train DB Fuel Gas,324110.0,5483.9,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,B Train DB Fuel Gas,324110.0,11859.1,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,C Train DB Fuel Gas,324110.0,9630.5,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,Cogen Aux Boiler,324110.0,17900.2,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,CP-6 Refinery Natural Gas - Tier 2,324110.0,127956.2,Natural Gas (Weighted U.S. Average),True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,CP-9 Cogen Natural Gas- Tier 2,324110.0,785110.0,Natural Gas (Weighted U.S. Average),True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,D Train DB Fuel Gas,324110.0,1198.3,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,D Train DB Natural Gas,324110.0,9735.3,Natural Gas (Weighted U.S. Average),True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,ETP F-707,324110.0,1553.1,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,F1005 - Unit 9 Incinerator LPG,324110.0,90.8,Liquefied petroleum gases (LPG),True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,GP-1 V1800 Fuel Gas,324110.0,189126.5,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,GP-2 V846 Fuel Gas,324110.0,414796.2,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,GP-3 V500 Fuel Gas,324110.0,182374.8,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,GP-4 - Diesel IC Engines,324110.0,4.0,Distillate Fuel Oil No. 2,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,GP-5 Lab Octane Test Engines,324110.0,16.2,Motor Gasoline,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,GP-6 Incinerator Thermal Oxidizer,324110.0,1471.9,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,Iso F-720,324110.0,173711.4,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,LPD F-201A,324110.0,20037.9,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,LPD F-301B,324110.0,90163.6,Fuel Gas,True,True
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,LSFO F-1100A,324110.0,100785.6,Fuel Gas,True,True
