datetime,hour_of_year,demand,normalized_demand
2050-07-13 05:00:00,4638,34562.419427870336,0.7769
2050-07-13 06:00:00,4639,37351.79218900751,0.8396
2050-07-13 07:00:00,4640,40732.850081294986,0.9155999999999999
2050-07-13 08:00:00,4641,43277.54102127979,0.9728000000000001
2050-07-13 09:00:00,4642,44265.16582665849,0.995
2050-07-13 10:00:00,4643,44291.85838896603,0.9956
2050-07-13 11:00:00,4644,44314.102190888974,0.9961000000000001
2050-07-13 12:00:00,4645,44487.603845887934,1.0
2050-07-13 13:00:00,4646,44487.603845887934,1.0
2050-07-13 14:00:00,4647,43909.2649958914,0.9870000000000001
2050-07-13 15:00:00,4648,42819.318701667136,0.9625
2050-07-13 16:00:00,4649,41444.6517428292,0.9316
2050-07-13 17:00:00,4650,40096.6773462988,0.9013000000000001
2050-07-13 18:00:00,4651,39126.84758245844,0.8795000000000001
2050-07-13 19:00:00,4652,38681.971543999556,0.8694999999999999
2050-07-13 20:00:00,4653,38548.508732461894,0.8665
2050-07-13 21:00:00,4654,38286.031869771155,0.8606
2050-07-13 22:00:00,4655,37400.72855323799,0.8407000000000001
2050-07-13 23:00:00,4656,35487.7615878648,0.7976999999999999
2050-07-14 00:00:00,4657,33049.840897110145,0.7429
2050-07-14 01:00:00,4658,33049.840897110145,0.7429
2050-07-14 02:00:00,4659,33494.71693556903,0.7529
2050-07-14 03:00:00,4660,33147.7136255711,0.7451
2050-07-14 04:00:00,4661,33209.996270955344,0.7465
2050-07-14 05:00:00,4662,34562.419427870336,0.7769
2050-07-14 06:00:00,4663,37351.79218900751,0.8396
2050-07-14 07:00:00,4664,40732.850081294986,0.9155999999999999
2050-07-14 08:00:00,4665,43277.54102127979,0.9728000000000001
2050-07-14 09:00:00,4666,44265.16582665849,0.995
2050-07-14 10:00:00,4667,44291.85838896603,0.9956
2050-07-14 11:00:00,4668,44314.102190888974,0.9961000000000001
2050-07-14 12:00:00,4669,44487.603845887934,1.0
2050-07-14 13:00:00,4670,44487.603845887934,1.0
2050-07-14 14:00:00,4671,43909.2649958914,0.9870000000000001
2050-07-14 15:00:00,4672,42819.318701667136,0.9625
2050-07-14 16:00:00,4673,41444.6517428292,0.9316
2050-07-14 17:00:00,4674,40096.6773462988,0.9013000000000001
2050-07-14 18:00:00,4675,39126.84758245844,0.8795000000000001
2050-07-14 19:00:00,4676,38681.971543999556,0.8694999999999999
2050-07-14 20:00:00,4677,38548.508732461894,0.8665
2050-07-14 21:00:00,4678,38286.031869771155,0.8606
2050-07-14 22:00:00,4679,37400.72855323799,0.8407000000000001
2050-07-14 23:00:00,4680,35487.7615878648,0.7976999999999999
2050-07-15 00:00:00,4681,33049.840897110145,0.7429
2050-07-15 01:00:00,4682,33049.840897110145,0.7429
2050-07-15 02:00:00,4683,33494.71693556903,0.7529
