day_of_year,demand,normalized_demand
164,549135.2159560594,0.9573856133429629
165,531510.499020404,0.9266579347254823
166,428947.05841431115,0.7478444847079444
167,467961.05796088115,0.8158631453211144
168,525497.5207083373,0.9161746534460379
169,512401.3642873799,0.8933422591955898
170,489021.15366831125,0.8525802089150342
171,533231.8608410623,0.9296590298921562
172,524468.6486656802,0.9143808743129773
173,424744.7440807337,0.7405179917626552
174,484690.4624445798,0.8450298982575533
175,519577.772169059,0.9058539129044832
176,518546.7440169821,0.9040563747188627
177,530756.7652895821,0.92534384338839
178,557054.5262882747,0.9711924746757605
179,539733.6517256907,0.9409945277313728
180,433687.6853701454,0.7561094946979516
181,473830.9368709188,0.826096941037077
182,505529.6199784207,0.881361768874067
183,511606.72668123484,0.8919568543083435
184,519064.38849375065,0.9049588580426136
185,352346.51775901456,0.6142958550321127
186,422209.5878069607,0.7360980928496693
187,425326.5123273803,0.7415322711850184
188,486619.7033153512,0.8483934185721884
189,483445.4009522046,0.8428592052735819
190,512708.7353193204,0.8938781428821349
191,519449.5737697452,0.9056304063807886
192,548783.6853290186,0.9567727399463947
193,529401.6818301645,0.9229813334432453
194,435115.38071902725,0.7585985992892068
195,489762.7416101882,0.8538731247688198
196,533248.360407886,0.9296877959363734
197,511643.6095790518,0.8920211575158639
198,534352.5546612958,0.9316128950045693
199,550096.1986749074,0.959061031351066
200,501292.8280815204,0.8739751662833765
201,421191.7566369319,0.7343235628419716
202,479590.9844068657,0.8361392520796972
203,513992.7679131909,0.8961167797364381
204,514558.5726719674,0.8971032277373563
205,529298.488900103,0.9228014225146272
206,555416.2696799278,0.9683362686590611
207,545672.2007864288,0.9513480458989947
208,438703.93149148027,0.7648550308245906
209,491132.5468735611,0.8562613013310376
210,529657.738043994,0.92342775270066
211,524063.82398282364,0.9136750858003644
212,536543.9762893005,0.9354335123652089
213,561782.8282935593,0.9794359968245246
214,529494.9011010298,0.9231438558716374
215,430691.22806014895,0.7508853440038601
216,477499.31391843787,0.8324925450842473
217,519430.3505070094,0.9055968917296608
218,501399.92842216924,0.8741618895572478
219,519998.9886458816,0.9065882795655448
220,555843.3263010111,0.9690808172751905
221,540858.8891894107,0.9429563144244453
222,424027.5262125449,0.739267563728385
223,497670.29301738215,0.8676594850932743
224,521154.01312710956,0.9086019982076124
225,503918.25790692645,0.8785524519329758
226,521149.5010480662,0.9085941316577412
227,556478.1327584062,0.9701875657624627
228,529448.6964566122,0.9230633007359446
229,415166.61195314425,0.7238190701943361
230,498852.6182387105,0.8697208010029116
231,524108.99570509215,0.9137538400957969
232,493446.3240979161,0.8602952386250088
233,511447.96211885137,0.8916800574402534
234,558206.2763874297,0.9732004846213211
235,533656.2973646274,0.9303990105192064
236,403268.8828908875,0.7030760650023898
237,490134.84903340694,0.8545218726240953
238,497005.83325968764,0.8665010377852566
239,479420.93851412117,0.8358427868620399
240,495270.31440851715,0.8634752606514712
241,550409.4340327734,0.9596071391520181
242,530910.0880997772,0.9256111528750391
243,386646.3472895654,0.674095631805659
244,397364.82095318876,0.6927826731469842
245,488499.9824636195,0.8516715769443239
246,467213.44481872575,0.814559724877755
247,479269.4447804274,0.8355786662648979
248,534597.7978114993,0.9320404623084927
249,517174.49380910496,0.901663935536755
250,393256.66052886617,0.6856203321182747
251,484082.76054356334,0.8439704050028338
252,516578.8461299321,0.9006254581233762
253,490169.7434545584,0.8545827090371055
254,502321.29965159233,0.8757682472155561
255,557878.9226434336,0.9726297622275111
256,533661.1980001957,0.9304075544949941
257,403471.70043103665,0.7034296656993226
258,500497.54414912825,0.8725886345635533
259,520758.0143163492,0.9079115970945407
260,498777.17396386457,0.8695892682560619
261,504943.0569081424,0.8803391299529316
262,560405.0986729085,0.9770340046019151
263,535791.3970267934,0.9341214337771145
264,409905.6474525341,0.714646881671655
265,509548.86032224813,0.8883690828651185
266,513735.2750854726,0.8956678558254716
267,486573.49491222674,0.8483128568834067
268,506321.4283427703,0.8827422411412356
269,555369.0147824346,0.9682538824676359
270,536903.5563638491,0.9360604195097785
271,403769.0755551702,0.7039481220964704
272,504778.91769215564,0.8800529626859179
273,514883.4356167602,0.8976696075662504
274,475870.85607581394,0.8296534226510788
275,488348.5851274739,0.8514076244107538
276,549924.1315896837,0.9587610423007621
277,539246.2000708119,0.9401446838531785
278,403579.159352962,0.7036170141389917
279,504941.99093214184,0.8803372714851856
280,522785.75193630485,0.9114468408169816
281,505766.6671601642,0.8817750469791501
282,511273.6506638095,0.8913761554604698
283,567901.2929362126,0.9901031874442803
284,546453.8144891076,0.9527107443608546
285,419871.74837006343,0.7320222044743546
286,499006.4380676771,0.8699889770131554
287,513093.197567438,0.89454843066286
288,504331.78618808754,0.8792734146678184
289,521072.4897169128,0.9084598668384976
290,573577.8857576622,1.0
291,550461.8255011041,0.9596984806587806
292,417201.4528758723,0.7273666981159395
293,518349.1847942836,0.9037119415954734
294,536818.3102162681,0.935911797762501
295,506052.18348358147,0.8822728282404344
296,516581.3934306283,0.90062989919539
297,571227.3403645476,0.9959019595220102
298,557988.2247523753,0.9728203241575571
299,396557.6791093841,0.6913754678417474
300,506357.67089845554,0.8828054279491393
301,519098.5963211313,0.9050184974189389
302,484061.4313361191,0.8439332187584302
303,494386.6200956418,0.8619345905265969
304,473201.99616200366,0.8250004191443538
305,519380.5944868613,0.9055101449749766
306,393948.0624462006,0.686825751529487
307,486747.0965536337,0.8486155213440102
308,471577.80828773126,0.8221687411550134
309,450096.03234193183,0.7847165023584928
310,487857.2171119575,0.8505509525834092
311,543722.8149986955,0.947949404082185
312,497104.0067978744,0.8666721976933082
313,394026.0613774271,0.6869617381725625
314,492439.8903096942,0.8585405792958883
315,495621.44977058563,0.8640874449263315
316,484283.9068188583,0.8443210919457749
317,499001.8527728177,0.8699809828157269
318,559675.0822143028,0.9757612629625798
319,542639.3528103804,0.9460604501751076
320,392846.5563310764,0.6849053390755285
321,493873.3069882138,0.8610396586957612
322,518214.3007938421,0.9034767791113701
323,490871.130594138,0.8558055371080537
324,493705.7571265973,0.8607475451645793
325,556077.6354884548,0.9694893218449476
326,550559.3277997917,0.9598684702994357
327,466154.4401767338,0.812713411293693
328,497778.58502274443,0.8678482859659217
329,521323.4887010956,0.9088974691073702
330,554184.9983438331,0.9661896180181141
331,531799.9043595254,0.9271624962616009
332,259915.252249444,0.45314726858081605
333,430130.84672972775,0.7499083514378357
334,487103.41799879936,0.8492367472559803
335,540530.2078896498,0.9423832775136398
336,533245.2376389195,0.929682351568583
337,494136.977445197,0.8614993529474579
338,491709.7301330696,0.8572675870924666
339,534549.1109397309,0.9319555795524148
340,520890.9122649414,0.9081432970116613
341,402290.3889587094,0.7013701172026667
342,486172.6968987149,0.8476140886368199
343,498674.31561326724,0.8694099406474644
344,492336.1449771154,0.8583597052853051
345,503304.2240132314,0.8774819192138074
346,546375.3915405042,0.9525740184679101
347,528015.0029339733,0.9205637386742986
348,390402.2483771569,0.6806438289744361
349,486063.65523409774,0.8474239807764495
350,490303.2088163485,0.8548153982064479
351,500212.4267054807,0.872091548726168
352,509441.985310246,0.8881827524387615
353,555630.2755440632,0.9687093755543045
354,555597.2738156805,0.9686518389420987
355,475539.5852415736,0.8290758710360915
356,482541.6112234725,0.8412834999488583
357,502464.29495446454,0.8760175512881553
358,364454.99304121884,0.635406284117449
359,343847.90564687713,0.5994790144195927
360,503210.4748109939,0.8773184728805972
361,545396.1308257848,0.9508667338270006
362,467885.7598888398,0.8157318674704318
363,475058.2997820093,0.8282367775641934
364,495678.5994652558,0.8641870821265953
365,405305.8560743802,0.7066274103977969
