Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,geometry,inWestCensus,inWECC
1007218,110011942719.0,SINCLAIR CASPER REFINING COMPANY,CASPER,WY,82609,5700 EAST HIGHWAY 20/26,NATRONA COUNTY,42.8605,-106.2425,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",306591.94,300102.8,5616.0,873.14,,,,,,,,,,128828.83,,,,,,,,,,,,,,,,,,,,,,,,,177763.11,,,,,,,,,,,,N,N,N,POINT (-106.2425 42.8605),True,True
1007923,110032913024.0,SUNCOR ENERGY (USA) COMMERCE CITY REFINERY,COMMERCE CITY,CO,80022,5801 BRIGHTON BLVD,ADAMS COUNTY,39.803333,-104.945556,324110.0,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",951212.102,939496.1,8594.75,3121.252,,,,,,,,,,487683.07,,,,,,,,,,,209775.5,,,,,,,,,,,,,,253753.532,,,,,,,,,,,,N,N,N,POINT (-104.945556 39.803333),True,True
1006448,110000499069.0,Silver Eagle Refining-Woods Cross,WOODS CROSS,UT,84087,2355 SOUTH 1100 WEST,DAVIS COUNTY,40.866389,-111.911389,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",43429.074,42955.9,439.5,33.674,,,,,,,,,,41740.05,,,,,,,,,,,,,,,,,,,,,,,,,1689.024,,,,,,,,,,,,N,N,N,POINT (-111.911389 40.866389),True,True
1003904,110000537250.0,TESORO CORPORATION-ANACORTES REFINERY,ANACORTES,WA,98221,10200 WEST MARCH POINT ROAD,SKAGIT COUNTY,48.489534,-122.564292,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",1370882.368,1364958.1,2455.25,3469.018,,,,,,,,,,771526.718,,,,,,,,,,,,,,,,,,,,,,,,,599355.65,,,,,,,,,,,,N,N,N,POINT (-122.564292 48.489534),True,True
1007741,110017413299.0,TESORO ALASKA PETROLEUM CO,KENAI,AK,99611,54741 TESORO ROAD,KENAI PENINSULA BOROUGH,60.683603,-151.367204,324110.0,"C,P,W-LNGIE,Y","Chemicals,Petroleum and Natural Gas Systems,Refineries",589876.286,586196.2,2411.5,1268.586,,,,,,,,,,498465.164,,,,,,,,,,,86724.4,,,,,,,,,,,,0.0,,4686.722,,,,,,,,,,,,N,N,N,POINT (-151.367204 60.683603),True,False
1007329,110069359063.0,TORRANCE REFINING COMPANY LLC,TORRANCE,CA,90504,3700 WEST 190TH STREET,LOS ANGELES COUNTY,33.85828,-118.3369,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",1579561.494,1570110.6,5613.25,3837.644,,,,,,,,,,805051.252,,,,,,,,,,,,,,,,,,,,,,,,,774510.242,,,,,,,,,,,,N,N,Y,POINT (-118.3369 33.85828),True,True
1002261,110017407153.0,TRICOR REFINING LLC,BAKERSFIELD,CA,93308,1134 Manor Street,KERN COUNTY,35.4185,-119.0112,324110.0,"C,Y",Refineries,34062.592,33725.5,321.0,16.092,,,,,,,,,,28529.392,,,,,,,,,,,,,,,,,,,,,,,,,5533.2,,,,,,,,,,,,N,N,N,POINT (-119.0112 35.4185),True,True
1006039,110000469243.0,"Tesoro Refining and Marketing Company, Salt Lake City Refinery",Salt Lake City,UT,84103,474 West 900 North,SALT LAKE COUNTY,40.791667,-111.902778,324110.0,"C,Y",Refineries,647518.696,645088.8,1207.5,1222.396,,,,,,,,,,401170.03,,,,,,,,,,,,,,,,,,,,,,,,,246348.666,,,,,,,,,,,,N,N,N,POINT (-111.902778 40.791667),True,True
1002461,110000746658.0,ULTRAMAR INC WILMINGTON REFINERY,WILMINGTON,CA,90744,2402 EAST ANAHEIM STREET,LOS ANGELES COUNTY,33.7783,-118.2351,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",967407.346,961717.4,3581.0,2108.946,,,,,,,,,,619944.564,,,,,,,,,,,,,,,,,,,,,,,,,347462.782,,,,,,,,,,,,N,N,Y,POINT (-118.2351 33.7783),True,True
1007658,110000490549.0,US OIL & REFINING TACOMA,TACOMA,WA,98421,3001 MARSHALL AVENUE,PIERCE COUNTY,47.257694,-122.395259,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",130279.176,129024.5,819.0,435.676,,,,,,,,,,123894.078,,,,,,,,,,,,,,,,,,,,,,,,,6385.098,,,,,,,,,,,,N,N,N,POINT (-122.395259 47.257694),True,True
1008504,110033145353.0,VALERO REFINING CO - CALI FORNIA BENICIA REFINERY,BENICIA,CA,94510,3400 E SECOND ST,SOLANO COUNTY,38.07167,-122.13975,324110.0,"C,MM-REF,P,PP,Y","Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",2905969.642,2893407.1,7324.0,5238.542,,,,,,,,,,1142568.812,,,,,,,,,,,889712.4,,,,,,,,,,,,,,873688.43,,,,,,,,,,,,N,Y,Y,POINT (-122.13975 38.07167),True,True
1010774,110000476048.0,Valero Wilmington Asphalt Plant,Wilmington,CA,90744,1651 Alameda Street,LOS ANGELES COUNTY,33.79699,-118.23971,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",14275.79,14085.9,173.5,16.39,,,,,,,,,,14111.54,,,,,,,,,,,,,,,,,,,,,,,,,164.25,,,,,,,,,,,,N,N,N,POINT (-118.23971 33.79699),True,True
1004459,110000468226.0,WYOMING REFINING COMPANY,NEWCASTLE,WY,82701,740 W. MAIN ST.,WESTON COUNTY,43.85126,-104.21486,324110.0,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",160314.056,159288.3,602.0,423.756,,,,,,,,,,99016.59,,,,,,,,,,,,,,,,,,,,,,,,,61297.466,,,,,,,,,,,,N,N,N,POINT (-104.21486 43.85126),True,True
