registry_id,primary_name,latitude83,longitude83,naics_code,inWECC,inGHGRP
110070092888,VISION SYSTEMS INC,32.81059,-116.9668,327211,True,False
110071723892,ACCENT WINDOW INC,39.7989,-104.97242,327211,True,False
110038610063,ACCENT WINDOWS PRODUCTS INC,39.792333,-104.986361,327211,True,False
110038610063,ACCENT WINDOWS PRODUCTS INC,39.792333,-104.986361,327211,True,False
110007352042,ACCENT WINDOW INC,39.79827,-104.97235,327211,True,False
110007352042,ACCENT WINDOW INC,39.79827,-104.97235,327211,True,False
110070312896,317721218 - PORTLAND GLASS MANUFACTURING INC,45.40595,-122.5378,327211,True,False
110070416074,TRIVIEW GLASS,34.012889,-117.954104,327211,True,False
110005342780,NOR PAC MECHANICAL SVCS INC,46.633149,-122.933392,327211,True,False
110001916482,PPG INDUSTRIES INC CHEHALIS,46.626639,-122.931944,327211,True,False
110046433105,RAINBOW RESEARCH OPTICS INC,39.59273,-104.81776,327211,True,False
110035441126,OCEANSIDE GLASSTILE CO,33.12208,-117.26943,327211,True,False
110001726062,CAPITOL GLASS & ALUMINUM CORP,39.76387,-104.84869,327211,True,False
110001726062,CAPITOL GLASS & ALUMINUM CORP,39.76387,-104.84869,327211,True,False
110043480382,500 EAST TEMPORARY CONCRETE BATCH PLANT,40.355833,-111.783889,327211,True,False
110070456754,TECHNI-GLASS INC,38.536776,-122.806433,327212,True,False
110009532461,CALIFORNIA SPECIALTY PAINTING,34.02869,-118.03899,327212,True,False
110009532461,CALIFORNIA SPECIALTY PAINTING,34.02869,-118.03899,327212,True,False
110017780622,TELIC,34.42919,-118.56877,327212,True,False
110070521971,"C D E Q, INC.",34.2401,-118.40129,327212,True,False
110000805166,HOLLY DECORATIONS  INC,39.53934,-119.71117,327212,True,False
110070310496,WA317948097 - QUARTZCASTLE LLC,47.20156,-123.25032,327212,True,False
110008062149,BUILDING MATERIALS MFG CORP (DBA GAF),35.495071,-119.160072,327212,True,False
110008062149,BUILDING MATERIALS MFG CORP (DBA GAF),35.495071,-119.160072,327212,True,False
110008062149,BUILDING MATERIALS MFG CORP (DBA GAF),35.495071,-119.160072,327212,True,False
110064953661,WOLFARD GLASSBLOWINGNA INC,38.40362,-122.82098,327212,True,False
110000489604,CERADYNE VIOX,47.54387,-122.32605,327212,True,False
110070313300,GLASSYBABY,47.61289,-122.28888,327212,True,False
110000489604,CERADYNE VIOX,47.54387,-122.32605,327212,True,False
110005314294,CHIHULY INCORPORATED,47.65402,-122.32325,327212,True,False
110000489604,CERADYNE VIOX,47.54387,-122.32605,327212,True,False
110005314294,CHIHULY INCORPORATED,47.65402,-122.32325,327212,True,False
110000489604,CERADYNE VIOX,47.54387,-122.32605,327212,True,False
110055804740,LP GLASSBLOWING INC,37.40935,-121.966,327212,True,False
110002832070,ADVANTAGE ENVIRONMENTAL SVC,33.733789,-117.842355,327212,True,False
110009530212,BP CHEMICALS HITCO INC MATERIALS FOCUSED FACTORY,33.70855,-117.85606,327212,True,False
110071776722,HOOD MFG INC,33.71021,-117.87125,327212,True,False
110071776722,HOOD MFG INC,33.71021,-117.87125,327212,True,False
110000480621,HOOD MANUFACTURING INC,33.71155,-117.87123,327212,True,False
110000480621,HOOD MANUFACTURING INC,33.71155,-117.87123,327212,True,False
110000484583,GLASFORMS INC,37.30668,-121.87541,327212,True,False
110070902786,OCEANSIDE GLASS & TILE,32.558877,-116.940165,327212,True,False
110070902786,OCEANSIDE GLASS & TILE,32.558877,-116.940165,327212,True,False
110066366079,LAZER GLASS COMPANY,38.60865,-121.424075,327212,True,False
110065299858,LARSON ELECTRONIC GLASS INC,37.48308,-122.20434,327212,True,False
110070289561,WA317936922 - ENNCO DISPLAY SYSTEMS INC,47.66697,-122.10565,327212,True,False
110070296668,317715764 - TOSOH QUARTZ INC,45.52886,-122.82601,327212,True,False
110070339578,317713073 - TOSOH QUARTZ INC,45.52726,-122.82563,327212,True,False
110000487768,UROBOROS GLASS STUDIOS,45.538412,-122.672288,327212,True,False
