day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
233,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
234,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
235,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
236,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
237,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
238,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
239,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
240,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
241,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
242,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
243,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
244,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
245,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
246,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
247,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
248,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
249,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
250,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
251,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
252,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
253,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
254,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
255,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
256,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
257,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
258,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
259,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
260,126069.02332931508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126069.02332931508
