day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
90,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,125553.82085762905,180728.74798225833,431334.96054119297,1139442.742721876
91,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,127498.36084285936,183527.8180254123,504805.7936119448,1217657.185821012
92,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,112428.83528441988,159439.37509828765,490904.7071698758,1011567.9895528682
93,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,118446.50530612741,167973.24427884896,496625.93091469933,1031840.7524999606
94,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,109582.9896347705,155403.57540728353,482653.69905903284,1149465.4774418822
95,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,112543.44791969887,159601.90867096142,514051.34780548234,1188021.9177369382
96,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,117152.81408889306,166138.6129785548,411581.4476149277,1096698.088023171
97,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,124038.92725326931,175904.06334530347,475742.84794761345,1177511.0518869818
98,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,125960.00501993131,178628.41018926672,502614.3037490884,1209027.932299082
99,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,111958.42174766498,158100.67337621975,488341.87962533685,1007196.0467495064
