day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
128,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,77490.95503385531,113988.00064225646,707130.6241878102,1119885.7349809052
129,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,71692.19978518138,105458.12179425135,758186.2574587904,1271385.3401605892
130,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,73629.0128574124,108307.14466578723,740536.5996723931,1258521.5183179588
131,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,76644.58672874319,112743.00501968537,551583.6629582371,1077020.0158290318
132,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,81149.67097922057,119369.91853472685,617942.3627720508,1154510.7134083644
133,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,82406.49278623122,121218.68231334322,695346.2341646781,1235020.170386619
134,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,75444.16019198774,110666.00902428025,696497.850865356,1103884.1751986071
135,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,79482.25291038789,116589.32152576136,706925.6326223186,1124273.3621754511
136,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,73534.48608987089,107864.78225862386,739176.7676464699,1256624.7971173308
137,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,75521.06976766857,110778.822699128,738256.7514267175,1260605.4050158802
138,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,78614.1353390808,115315.91385021435,558638.3763407641,1088617.1866524254
139,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,83234.98748398737,122094.0602004905,664065.4239876873,1205443.2327945314
140,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,84524.10604865685,123985.01462899004,715801.5196570995,1260359.4014571127
141,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,76571.45749628327,111528.72791183514,714368.0353535523,1123744.375878654
142,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,80669.88796679521,117498.21677421489,714471.4471789488,1133915.7070369422
143,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,74633.24877383368,108705.66362569379,765919.9648783222,1285307.638400216
144,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,76649.51626571373,111642.42104812658,723202.7509146569,1247543.4493508632
145,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,79788.7988600445,116214.88199582088,542194.5780476013,1074247.0200258328
